115	0.00296863
115.2	0.00298163
115.4	0.00299481
115.6	0.00300817
115.8	0.00302173
116	0.00303547
116.2	0.00304941
116.4	0.00306354
116.6	0.00307787
116.8	0.00309241
117	0.00310715
117.2	0.00312209
117.4	0.00313725
117.6	0.00315262
117.8	0.00316821
118	0.00318402
118.2	0.00320006
118.4	0.00321632
118.6	0.00323281
118.8	0.00324953
119	0.00326649
119.2	0.0032837
119.4	0.00330114
119.6	0.00331884
119.8	0.00333679
120	0.00335499
120.2	0.00337345
120.4	0.00339217
120.6	0.00341117
120.8	0.00343043
121	0.00344997
121.2	0.00346979
121.4	0.00348989
121.6	0.00351028
121.8	0.00353097
122	0.00355195
122.2	0.00357323
122.4	0.00359482
122.6	0.00361673
122.8	0.00363895
123	0.00366149
123.2	0.00368436
123.4	0.00370757
123.6	0.00373111
123.8	0.003755
124	0.00377923
124.2	0.00380382
124.4	0.00382878
124.6	0.0038541
124.8	0.00387979
125	0.00390587
125.2	0.00393233
125.4	0.00395919
125.6	0.00398645
125.8	0.00401412
126	0.0040422
126.2	0.00407071
126.4	0.00409965
126.6	0.00412903
126.8	0.00415885
127	0.00418913
127.2	0.00421988
127.4	0.0042511
127.6	0.0042828
127.8	0.00431499
128	0.00434768
128.2	0.00438089
128.4	0.00441461
128.6	0.00444887
128.8	0.00448367
129	0.00451902
129.2	0.00455494
129.4	0.00459143
129.6	0.00462851
129.8	0.00466619
130	0.00470448
130.2	0.0047434
130.4	0.00478296
130.6	0.00482317
130.8	0.00486405
131	0.00490561
131.2	0.00494787
131.4	0.00499084
131.6	0.00503453
131.8	0.00507898
132	0.00512418
132.2	0.00517016
132.4	0.00521694
132.6	0.00526453
132.8	0.00531295
133	0.00536223
133.2	0.00541239
133.4	0.00546343
133.6	0.00551539
133.8	0.00556829
134	0.00562215
134.2	0.00567699
134.4	0.00573284
134.6	0.00578973
134.8	0.00584767
135	0.00590669

